emotion,wav
fear,"[ 0.00187611  0.00214286  0.00235713 ... -0.00082224 -0.00078237
 -0.00045909]"
happy,"[-0.00040469 -0.00018834 -0.00020145 ... -0.01243672 -0.01320076
 -0.01361636]"
neutral,"[ 0.0079545   0.00537765  0.00346449 ... -0.00254422 -0.00270449
 -0.00252838]"
sad,"[ 0.02697496  0.03114985  0.03635337 ... -0.00607706 -0.00701678
 -0.00453047]"
angry,"[ 0.00292943  0.01499858  0.02382424 ... -0.00395139 -0.00456655
 -0.00489245]"
disgust,"[-0.00506064 -0.00192607 -0.00295001 ... -0.00671571 -0.00751345
 -0.00840318]"
fear,"[-3.5452074e-03 -1.2740998e-03  6.0656650e-05 ...  2.0839199e-02
  2.1085877e-02  2.0894147e-02]"
happy,"[-0.00690457 -0.00959137 -0.00819249 ... -0.00311676  0.01953566
  0.0075086 ]"
neutral,"[ 0.01103036  0.00941136  0.00650831 ... -0.00226413 -0.00272107
 -0.00281013]"
sad,"[ 7.3532014e-05  3.6917671e-04  6.1054328e-05 ... -7.8126723e-03
 -6.2451600e-03 -4.7951564e-03]"
angry,"[-0.00434384  0.01713972  0.00520465 ... -0.00738486 -0.00738181
 -0.00741426]"
disgust,"[-0.0018396  -0.00217798 -0.00183105 ... -0.00310385 -0.00938258
 -0.00566513]"
fear,"[ 0.00471044  0.00330096  0.00229188 ... -0.00061153 -0.00013587
  0.00015156]"
happy,"[-0.00293811 -0.00223934 -0.00559526 ...  0.00768062  0.01088667
  0.00671177]"
neutral,"[-0.01046636 -0.01147744 -0.01345735 ...  0.00504759  0.00505875
  0.00484139]"
sad,[0.00418981 0.00294933 0.00277238 ... 0.00052487 0.00159513 0.00231583]
angry,[0.04867927 0.04697201 0.04551606 ... 0.06314578 0.06778217 0.06528361]
disgust,"[-0.02115801 -0.0232352  -0.02641006 ... -0.01601842 -0.01709676
 -0.01836468]"
fear,"[ 0.0229201   0.03183864  0.03209857 ... -0.01502639 -0.01826166
 -0.02238306]"
happy,"[-0.00388368 -0.00032355 -0.00032007 ... -0.02645512 -0.02875518
 -0.03084561]"
neutral,"[ 3.7648657e-04 -4.1550520e-04  1.7541840e-06 ... -1.0279938e-02
 -1.2569699e-02 -1.5179224e-02]"
sad,"[ 0.00423302  0.00218865  0.00347749 ... -0.01299938 -0.01239239
 -0.01127061]"
angry,"[ 0.01693777  0.02019419  0.02135486 ... -0.01381824 -0.02759925
 -0.03308412]"
disgust,"[ 0.03967171  0.04307459  0.04662783 ... -0.01086282 -0.00203157
  0.00578366]"
fear,"[ 0.01095974  0.01131739  0.01163249 ... -0.02266651 -0.02101991
 -0.01944397]"
happy,"[-0.00664994 -0.00503653 -0.0050982  ... -0.00106861 -0.00078362
 -0.00041837]"
neutral,"[-0.11392057 -0.12358616 -0.13431337 ...  0.01294165  0.01505764
  0.01988395]"
sad,"[ 0.00090422  0.00166835  0.00239354 ... -0.00357526 -0.00392086
 -0.00381064]"
angry,"[-0.03092126 -0.0186589  -0.00112775 ... -0.01930968 -0.0185311
 -0.0163865 ]"
disgust,"[-0.02567191 -0.02585085 -0.02761092 ... -0.00391872 -0.00445814
 -0.0044745 ]"
fear,"[-0.00714151 -0.00717842 -0.00806396 ...  0.00487609  0.0040327
  0.00330724]"
happy,"[-0.00061002 -0.00091628 -0.00151673 ...  0.00565243  0.00626303
  0.00548865]"
neutral,"[-0.01118956 -0.01173531 -0.01315447 ...  0.00755713  0.00777894
  0.00790821]"
sad,"[-0.00412773 -0.0044305  -0.00408184 ... -0.00733405 -0.00715667
 -0.00717116]"
angry,[0.01820699 0.01017866 0.0059103  ... 0.026371   0.03497259 0.041072  ]
disgust,"[-0.00039996 -0.00320032 -0.00291956 ... -0.00072134  0.00182613
  0.00120238]"
fear,"[-0.00251345 -0.0018469  -0.00130083 ... -0.00644114 -0.00850722
 -0.01139983]"
happy,"[ 0.00268307 -0.00382133 -0.00690956 ... -0.0078378   0.01105216
  0.00363954]"
neutral,"[-4.9846247e-03 -3.7975707e-03 -3.2294400e-03 ... -9.1799529e-04
 -1.1116732e-03 -5.7692927e-05]"
sad,"[-0.00618838 -0.0063832  -0.00474249 ... -0.00985849 -0.01027724
 -0.00985301]"
angry,"[-0.00698548 -0.01478492 -0.00879233 ...  0.00014246  0.0006416
  0.00234732]"
disgust,[0.00704006 0.00729758 0.00365368 ... 0.00838883 0.00789147 0.00836384]
fear,"[-0.02116521 -0.02368558 -0.02567791 ... -0.00611719 -0.00650792
 -0.00484739]"
happy,"[ 0.00756146  0.00670653  0.00659171 ... -0.02478126 -0.0253204
 -0.02622376]"
neutral,"[-0.01918888 -0.01698647 -0.0154134  ...  0.00784828  0.00723237
  0.00593176]"
sad,"[-7.0655842e-05 -2.6648112e-03 -3.4571136e-03 ...  3.8244233e-03
  3.4793089e-03  3.4589344e-03]"
angry,"[ 0.00519086  0.00412013  0.00178688 ... -0.00573617 -0.00773165
 -0.00693814]"
disgust,"[-0.00215739 -0.00255234 -0.00166428 ...  0.00482556  0.00335704
  0.0013915 ]"
fear,"[ 0.00490594 -0.0054652   0.00880402 ...  0.00027736 -0.00294265
 -0.00586408]"
happy,"[-0.01281421 -0.00968714  0.00624277 ... -0.08750822 -0.0865775
 -0.08162655]"
neutral,"[-0.03598242 -0.04478664 -0.05125247 ...  0.00682034  0.00723493
  0.00670327]"
sad,"[ 9.34187137e-03  8.70156474e-03  7.10443780e-03 ...  1.18146245e-05
 -7.44128088e-03 -2.91229016e-03]"
angry,"[-0.04086341 -0.03941492 -0.04510137 ...  0.04157798  0.04548708
  0.05484468]"
disgust,"[-0.00820024 -0.00898233 -0.00906508 ... -0.00629745 -0.00556151
 -0.00514855]"
fear,"[ 0.00730806  0.01314862  0.00804758 ... -0.00224227 -0.00530725
 -0.00425084]"
happy,"[ 0.03503929  0.04019194  0.03962591 ... -0.01163075 -0.02003155
 -0.02793635]"
neutral,"[ 0.01225451 -0.01525627 -0.01463676 ... -0.0148574  -0.01294104
 -0.01198192]"
sad,"[ 0.02939677  0.03468376  0.04243398 ... -0.00520461 -0.00545514
 -0.00636247]"
angry,"[-0.02084387 -0.02204647 -0.02373759 ...  0.00581752  0.00139247
 -0.00569625]"
disgust,"[-0.01037922  0.0483974   0.10219821 ... -0.00194904 -0.00210502
 -0.00233428]"
fear,"[-0.00259033  0.00055418 -0.0049815  ...  0.00243679  0.00308243
  0.00290223]"
happy,"[-0.05041841 -0.05031335 -0.04650233 ... -0.00940507 -0.00949723
 -0.00850496]"
neutral,"[-0.01114909 -0.01091338 -0.01064383 ... -0.01017036 -0.009824
 -0.00930138]"
sad,"[ 0.00231257  0.00267421  0.00242645 ... -0.00333316 -0.00098811
 -0.00057889]"
angry,"[-0.00355853 -0.01469599  0.0062527  ... -0.5476006  -0.57652843
 -0.5522377 ]"
angry,"[-0.04716811 -0.03865132 -0.03280314 ... -0.0099144  -0.00975216
 -0.0093639 ]"
angry,"[-5.6108389e-02 -5.7278045e-02 -4.0797886e-02 ...  5.6346784e-05
  4.0178944e-04 -7.1388343e-04]"
disgust,"[-0.03243128 -0.03985263 -0.03957549 ...  0.06934397  0.12179396
  0.19561446]"
disgust,[0.00243895 0.00233503 0.00141176 ... 0.0128822  0.00945474 0.00448579]
disgust,"[-0.01683022 -0.01634247 -0.01579086 ... -0.04954458 -0.03916249
 -0.02837975]"
fear,[0.07203817 0.05945588 0.05469365 ... 0.00939082 0.00934382 0.00939011]
fear,"[-0.02723891 -0.02567846 -0.02482773 ...  0.00422429  0.00361414
  0.00340032]"
fear,[0.01309772 0.00439485 0.00764063 ... 0.00564159 0.00576659 0.00602599]
happy,"[-0.00127433 -0.00055901  0.00011061 ...  0.02346345  0.02512335
  0.0195511 ]"
happy,"[ 0.00366777 -0.00111553  0.00270154 ...  0.00327786  0.00292161
  0.00236547]"
happy,[0.00728062 0.01279283 0.01196162 ... 0.00080207 0.00133857 0.00144524]
neutral,"[ 0.00995067  0.00524217 -0.01773388 ...  0.00588337  0.00579746
  0.00540749]"
sad,[0.00795991 0.00777699 0.00741014 ... 0.00429659 0.00440087 0.00435739]
sad,"[ 0.0067936  -0.00292748 -0.00753145 ...  0.00111564  0.00138284
  0.00165676]"
sad,"[-1.9918999e-03 -2.4417925e-03 -2.4257966e-03 ... -2.2987644e-05
  1.4548434e-03  1.2852733e-04]"
angry,"[-0.04439361 -0.03050009 -0.01622076 ...  0.01645739 -0.01637978
 -0.04859506]"
disgust,"[-0.01866916 -0.00770381  0.00429414 ... -0.01720767 -0.01638745
 -0.01571624]"
fear,"[-0.01625798 -0.0155071  -0.01389292 ... -0.00502493 -0.00501973
 -0.00484459]"
happy,"[-0.00684219 -0.00806033 -0.01250957 ... -0.00791125 -0.01268124
 -0.01521775]"
neutral,"[-0.00387009 -0.00408028 -0.00416046 ... -0.02694187 -0.02549474
 -0.02158433]"
sad,"[-0.0029842  -0.00381166 -0.00466495 ...  0.00280535  0.00287804
  0.00296262]"
angry,"[-0.20437784 -0.23193252 -0.14902142 ... -0.03415723 -0.0562417
 -0.05707307]"
disgust,"[ 0.00272444  0.00048964 -0.0017981  ...  0.00012665  0.00042461
  0.0010898 ]"
fear,[0.01680048 0.01567474 0.0144     ... 0.01267688 0.01198758 0.01169453]
happy,"[-0.05245095 -0.0400734  -0.02847711 ... -0.02671273 -0.02693436
 -0.02746119]"
neutral,"[-7.5994758e-04 -6.1699952e-04 -6.0333096e-04 ...  3.0217019e-05
  5.9107802e-04  2.4029240e-03]"
sad,"[-0.00891455 -0.00566829 -0.00249047 ... -0.00534282 -0.00657574
 -0.00673058]"
angry,"[ 0.08518397  0.09796897  0.09357721 ... -0.00535161  0.00477929
  0.00488595]"
disgust,"[ 0.05072674  0.05114162  0.05127925 ... -0.01058407 -0.00987705
 -0.0089277 ]"
fear,"[-0.00125836  0.01467024  0.02863353 ... -0.00462696 -0.00276113
 -0.00202197]"
happy,"[ 0.00489946  0.00548538  0.00474845 ... -0.00570648 -0.00786988
 -0.00951747]"
neutral,"[ 0.00781812  0.00781519  0.00010331 ... -0.00224431 -0.00162393
 -0.00053419]"
sad,[0.00046581 0.00051923 0.00029574 ... 0.0024668  0.0013177  0.0017542 ]
angry,"[ 0.02746573  0.05872842  0.1568085  ... -0.04256729  0.05166688
  0.12868641]"
disgust,"[-0.03709173 -0.03647653 -0.03379334 ...  0.00762765  0.0082433
  0.01008409]"
fear,"[ 0.00197953  0.00343126  0.00490339 ... -0.00783538 -0.00534821
 -0.00659441]"
happy,"[-0.10205446 -0.07826311 -0.05140286 ...  0.0017684  -0.00387913
 -0.01490403]"
neutral,"[-0.01027659 -0.0095365  -0.00840476 ...  0.0056832   0.01049973
  0.00703009]"
sad,"[ 0.02112194  0.02033869  0.0197581  ... -0.00399391 -0.00391884
 -0.00344889]"
angry,"[-0.00852594 -0.00736204 -0.00835825 ... -0.00942358  0.01676625
 -0.01315096]"
disgust,"[-0.03607749 -0.03954603 -0.0417633  ... -0.00810206 -0.00512717
 -0.00172317]"
fear,"[-0.00084322 -0.00088868 -0.00121065 ...  0.0144056   0.016645
  0.01793997]"
happy,"[-0.00636542 -0.00720153 -0.00759873 ...  0.02281928  0.01756448
  0.01389023]"
neutral,"[-0.00963974 -0.00994237 -0.01017857 ... -0.00193768 -0.00085081
  0.00020306]"
sad,"[-0.01659511 -0.01654489 -0.01678491 ... -0.00934229 -0.00953112
 -0.0101135 ]"
angry,[0.09505715 0.06605019 0.03166478 ... 0.00241502 0.00217432 0.00020449]
disgust,"[-0.03523588 -0.03208135 -0.02900577 ...  0.00483046 -0.00143128
 -0.00374272]"
fear,"[-0.00585501 -0.0059205  -0.00610944 ...  0.00290619  0.00387006
  0.00476573]"
happy,[0.12194747 0.08470553 0.04708529 ... 0.00218572 0.00178514 0.00129518]
neutral,"[ 0.00190302  0.00091912  0.0008805  ... -0.0087527  -0.00857553
 -0.00803642]"
sad,[0.00306264 0.00412872 0.00493087 ... 0.00032887 0.00179856 0.0034851 ]
angry,[0.04024017 0.04174663 0.04508099 ... 0.02807181 0.03022732 0.02887079]
disgust,"[-0.02121935 -0.02327011 -0.02365434 ... -0.01903714 -0.01886986
 -0.02200781]"
fear,"[ 0.00036422  0.00222981  0.00901155 ... -0.0010305  -0.00028106
  0.00100605]"
happy,[0.0175942  0.02440821 0.0303563  ... 0.00200931 0.00258413 0.00217427]
neutral,"[ 0.01113339  0.00864647  0.00401999 ... -0.00021502 -0.00177062
 -0.00362362]"
sad,"[ 0.00901732  0.01038165  0.01163765 ... -0.00668926 -0.00636909
 -0.00658794]"
angry,"[-0.01203296 -0.01088638 -0.00885414 ... -0.00167416 -0.01958771
 -0.04421166]"
disgust,"[-0.0260668  -0.00811221  0.01127305 ...  0.00775281  0.01190027
  0.00977574]"
fear,"[-0.0010039  -0.00124099 -0.00138326 ...  0.00254924  0.00345813
  0.00306716]"
happy,"[-0.00364241 -0.00400616 -0.00502124 ...  0.00235325  0.00272014
  0.0022909 ]"
neutral,"[-0.00036165 -0.00059098 -0.00135479 ... -0.02267078 -0.01698237
 -0.0116335 ]"
sad,[0.02036851 0.02324027 0.02515195 ... 0.00164326 0.00153295 0.00147294]
angry,"[ 0.01236032  0.01740298  0.01619522 ... -0.00021818  0.00065348
  0.00114001]"
disgust,"[-0.00531444 -0.00452783  0.00023755 ... -0.01460503 -0.01495618
 -0.01542185]"
fear,"[-0.00622992  0.00835365  0.01341972 ...  0.00084037  0.00075389
  0.00066448]"
happy,"[-0.08790175 -0.08671735 -0.06813524 ...  0.00317291  0.00314983
  0.00306655]"
neutral,"[-0.02014055 -0.01457626  0.00120384 ...  0.00090218  0.00085685
  0.00061935]"
sad,"[-0.00185894 -0.00476407 -0.00102574 ... -0.0035706  -0.00406648
 -0.0037915 ]"
angry,"[ 0.00066211  0.00078211 -0.00066317 ... -0.07725374 -0.06863569
 -0.06902279]"
disgust,"[-0.00528334  0.00599433  0.00934538 ...  0.00237536  0.00099361
 -0.00017056]"
fear,"[ 0.00792199  0.00827163  0.01031837 ... -0.00350295  0.00072604
  0.00370975]"
happy,[0.00750242 0.00402579 0.00284369 ... 0.01484557 0.01607058 0.01558868]
neutral,"[-0.01415177 -0.01362261 -0.0118366  ...  0.00118774  0.00085721
  0.00080328]"
sad,"[-0.00344107 -0.00578804 -0.00743727 ... -0.00424707 -0.00459661
 -0.00451746]"
angry,[0.196921   0.22435762 0.15594444 ... 0.00685019 0.00595588 0.00530031]
disgust,"[-0.00348717 -0.00238134 -0.00026774 ...  0.00140073  0.00137655
  0.00149735]"
fear,"[-0.03033044 -0.02929346 -0.03129213 ... -0.0074308  -0.00774259
 -0.00822156]"
happy,"[-0.00144994 -0.00146503 -0.00179103 ... -0.00820342 -0.00945725
 -0.00970442]"
neutral,[0.07081003 0.07081577 0.06832183 ... 0.00431503 0.00408762 0.00362526]
sad,"[-0.01136255 -0.01194777 -0.01294664 ...  0.00236522  0.00276592
  0.00248179]"
angry,"[ 0.00020613 -0.00161706 -0.07357711 ... -0.08620347 -0.0378576
 -0.00886919]"
angry,"[ 0.02096977  0.02684601  0.02333344 ... -0.00925826 -0.00748501
 -0.00555528]"
angry,"[ 0.07778934  0.07429724  0.06477203 ... -0.02722462 -0.04171349
 -0.04067906]"
disgust,[0.03006458 0.02945797 0.02518729 ... 0.00404267 0.00338577 0.00242732]
disgust,"[ 0.0106423   0.00988148  0.00930631 ... -0.00823118 -0.00741639
 -0.00655382]"
disgust,"[-0.02690673 -0.04129682 -0.05353627 ... -0.002283   -0.00272063
 -0.0025631 ]"
fear,"[-0.09214639 -0.08400153 -0.10276947 ...  0.00169201  0.00166319
  0.00190533]"
fear,"[-0.00573739 -0.00471638  0.01456038 ... -0.00440789 -0.00431437
 -0.00451552]"
fear,"[-0.00506959 -0.00971392 -0.01405191 ...  0.0014633   0.00164355
  0.00241394]"
happy,"[ 3.2753713e-02  5.8559284e-02  7.7924758e-02 ... -8.7776025e-05
 -2.6737474e-04 -5.5805419e-04]"
happy,"[ 0.00489348  0.02371455 -0.02595381 ...  0.00407094  0.00386929
  0.0037271 ]"
happy,"[-0.00270638 -0.00887072 -0.02045492 ... -0.00293455 -0.00283901
 -0.00314304]"
neutral,"[ 0.00237158  0.0020611   0.00151242 ... -0.00396879 -0.00376151
 -0.00376922]"
sad,"[-0.00122383 -0.00076326 -0.00042895 ...  0.01622525  0.01632802
  0.01536915]"
sad,[0.00663594 0.00852918 0.0107755  ... 0.00074425 0.00078394 0.00053947]
sad,"[ 6.4205085e-03  9.1942241e-03  2.7282024e-03 ...  1.7410908e-04
  1.5226829e-04 -1.5154723e-05]"
angry,"[-0.01894056 -0.01666513 -0.01560151 ...  0.03687655  0.0447127
  0.03940074]"
disgust,"[-0.0145292  -0.01099931 -0.00810864 ...  0.00198017  0.0035523
  0.0048963 ]"
fear,"[-0.00255195 -0.00240268 -0.00250584 ... -0.02324588 -0.01914163
 -0.02241834]"
happy,[0.00805585 0.00840639 0.00860641 ... 0.00670366 0.00665172 0.00690288]
neutral,"[-0.00415052 -0.0035762  -0.00373857 ... -0.03382644 -0.03703737
 -0.04281721]"
sad,"[ 0.00619408  0.00644593  0.00654271 ... -0.00377967 -0.00184598
  0.00036115]"
angry,"[-0.01514886 -0.01236687 -0.01147907 ...  0.02202719  0.01844485
  0.02020001]"
disgust,"[-0.00259846 -0.00261583 -0.00237077 ...  0.01414484  0.01489302
  0.01584034]"
fear,"[ 0.0040653   0.00228133  0.00348642 ... -0.0233326  -0.02237316
 -0.02306722]"
happy,[0.06930232 0.06512863 0.06220052 ... 0.01232986 0.01151857 0.01099723]
neutral,[0.00799363 0.00824825 0.00687897 ... 0.00231844 0.00261833 0.00302707]
sad,"[ 0.00334588  0.00340742  0.00114743 ... -0.00332325 -0.00281708
 -0.00284897]"
angry,"[-0.03679596 -0.03884122 -0.00577462 ...  0.01127136  0.0103778
 -0.0004376 ]"
disgust,"[-0.0087482  -0.01150765 -0.01225153 ...  0.00091936  0.00061344
  0.00119806]"
fear,"[-0.00627736 -0.00635843 -0.00638253 ...  0.00324572  0.00413091
  0.00634685]"
happy,[0.01982573 0.02016255 0.01597034 ... 0.23752071 0.23290338 0.2170971 ]
neutral,"[-0.00450794 -0.00101187 -0.00015294 ... -0.01320117 -0.01415978
 -0.01466177]"
sad,"[ 0.00808038  0.00734162  0.00655111 ... -0.00075137 -0.00029833
  0.00081066]"
angry,"[-0.02955434 -0.02971455 -0.02968748 ... -0.0773185  -0.02414717
  0.01515272]"
disgust,[0.00954576 0.01240034 0.01262567 ... 0.00829214 0.00882971 0.00941548]
fear,"[ 0.00357625  0.00329373  0.00266297 ... -0.05193295 -0.05050105
 -0.04003539]"
happy,[0.00460063 0.0046168  0.00475196 ... 0.01675065 0.01389582 0.01197367]
neutral,"[-0.06880384 -0.07158778 -0.073085   ... -0.00024839  0.00643327
  0.00973227]"
sad,"[-0.00807833 -0.00713943 -0.00560274 ...  0.05316713  0.0514278
  0.04491718]"
angry,"[-0.09562771 -0.10006926 -0.10404344 ... -0.00443186 -0.01621284
 -0.02081435]"
disgust,"[-0.00216053 -0.00230436 -0.00236518 ... -0.00107823 -0.00127385
 -0.00170379]"
fear,"[ 0.00554977  0.00575503  0.00538286 ... -0.00528808 -0.00526415
 -0.00409658]"
happy,[0.04086624 0.03701928 0.03216824 ... 0.00860855 0.00937262 0.00933711]
neutral,"[-0.03628606 -0.03758742 -0.03856952 ...  0.01139328  0.01095596
  0.00771437]"
sad,"[-4.3321759e-03 -8.4159542e-03 -1.2335828e-02 ... -6.6819530e-06
 -4.9876053e-05  3.6038470e-04]"
angry,"[-0.05857222 -0.06051423 -0.06546564 ... -0.01018844 -0.00748437
 -0.01000254]"
disgust,"[-0.01781936 -0.01770197 -0.01680001 ... -0.00469294 -0.00516214
 -0.00432993]"
fear,"[-0.0631208  -0.07173144 -0.08078402 ...  0.041711    0.03758784
  0.03233933]"
happy,"[-0.01049384 -0.01440765 -0.02361577 ...  0.00111133  0.00670257
  0.01023033]"
neutral,"[ 0.05407092  0.05301927  0.05081103 ... -0.03903049 -0.04224076
 -0.04344659]"
sad,"[-0.02515028 -0.0206363  -0.01899303 ...  0.00741344  0.0115454
  0.01470879]"
angry,"[-0.01469461 -0.01371801 -0.01155844 ...  0.00249131  0.00123677
  0.00023378]"
disgust,[0.01654564 0.01482326 0.01265943 ... 0.02159027 0.02153082 0.02095125]
fear,"[-0.0121717  -0.02046708 -0.02387353 ... -0.02185179 -0.01167373
 -0.00201387]"
happy,"[ 0.00854808  0.01298285  0.02130816 ... -0.00818358 -0.00790244
 -0.00478953]"
neutral,"[ 0.04312019  0.05479786  0.05660359 ... -0.01605314 -0.02245848
 -0.01721516]"
sad,"[-0.03233152 -0.02707965 -0.02183746 ... -0.00461201 -0.00468938
 -0.00481535]"
angry,"[ 0.0406244  -0.01063712 -0.00812018 ... -0.0068276  -0.00655402
 -0.00619729]"
disgust,"[-0.02264974 -0.02194538 -0.02135197 ...  0.00467226  0.00473954
  0.00469562]"
fear,"[-0.00460039 -0.00415043 -0.00777619 ... -0.00990295 -0.00788586
 -0.00478653]"
happy,"[-0.00157623 -0.01471855 -0.00691105 ...  0.00489782  0.00518724
  0.0055965 ]"
neutral,"[ 0.00195855 -0.00089782 -0.00424536 ... -0.00356856 -0.00438585
 -0.00534871]"
sad,"[ 9.4705826e-04  1.3514382e-03  1.3868676e-03 ... -6.8284944e-04
 -3.0617259e-05  3.1480650e-04]"
angry,"[ 0.0764707   0.12961833 -0.11990508 ... -0.12289708  0.18493094
 -0.11523335]"
disgust,"[-0.0133619  -0.0126887  -0.01251792 ...  0.03115577 -0.01501892
 -0.01852428]"
fear,"[-4.1922912e-02 -4.8081439e-02 -4.8595347e-02 ...  1.0671710e-03
  4.8402548e-05 -1.7941024e-03]"
happy,"[-0.02427325 -0.02989399 -0.02834181 ...  0.01494854 -0.00259575
 -0.00896016]"
neutral,"[ 0.01281484  0.00101757 -0.00529298 ...  0.00196435  0.00405349
  0.00586174]"
sad,"[-0.05838472 -0.05258996 -0.05059052 ...  0.0101382  -0.00141965
 -0.02530033]"
angry,"[-0.01158623 -0.01155428 -0.01137986 ...  0.09365991  0.07533143
  0.06290795]"
disgust,"[ 0.00364322  0.00348595  0.00344678 ... -0.01934942 -0.01612304
 -0.01328117]"
fear,"[-0.0173462   0.03704701  0.03138039 ... -0.00216419 -0.0006531
  0.00198628]"
happy,"[ 0.04478746  0.05571842  0.0265704  ... -0.04142667 -0.03500985
 -0.02712061]"
neutral,[0.02407268 0.03318298 0.03467482 ... 0.0722767  0.06972235 0.05853098]
sad,"[-0.00301274 -0.00042831 -0.00032938 ... -0.01999894 -0.02369062
 -0.02769054]"
angry,"[-0.01098485  0.00028325  0.00780771 ... -0.04272769 -0.05268785
 -0.05468481]"
disgust,"[ 0.00058242  0.00167313 -0.01025596 ...  0.01096442  0.0079705
  0.00555537]"
fear,"[-0.00486664 -0.00617289 -0.00624755 ...  0.00235612  0.00346924
  0.00410688]"
happy,"[-0.00883674 -0.00894351 -0.00894268 ...  0.00538532  0.00583785
  0.00630332]"
neutral,[0.00175873 0.00113809 0.00267046 ... 0.00793424 0.00672243 0.00329671]
sad,[0.01640156 0.01570079 0.01476516 ... 0.03753139 0.03769331 0.03345645]
angry,"[ 0.12190391  0.10129556  0.05317743 ...  0.03298267 -0.00421488
 -0.00982004]"
angry,[0.00354605 0.00431875 0.00465743 ... 0.00450277 0.00467491 0.00480833]
angry,"[-0.13437167 -0.12334348 -0.11486514 ...  0.00027019 -0.00220588
 -0.00422717]"
disgust,"[ 0.03321987  0.02941728  0.02676937 ... -0.01566968 -0.01774759
 -0.02044905]"
disgust,"[ 0.01713888  0.015731    0.01416426 ... -0.0041442  -0.0038912
 -0.00393597]"
disgust,"[-0.01441488 -0.01735594 -0.01746419 ... -0.00262971 -0.00207085
 -0.00353037]"
fear,"[ 0.00296052  0.02609473  0.04609814 ... -0.00675339 -0.00680753
 -0.00632192]"
fear,"[ 0.02279503  0.02646489  0.02904577 ... -0.00507077 -0.00531957
 -0.00529825]"
fear,"[-0.01730662 -0.02026964 -0.01595652 ... -0.0108366  -0.01060677
 -0.01072511]"
happy,"[-0.04872759 -0.04573179 -0.04110335 ... -0.00308448 -0.0025399
 -0.00286917]"
happy,"[-0.01944704 -0.01879813 -0.01814733 ... -0.00609316 -0.00771671
 -0.00804524]"
happy,"[-1.2787919e-03 -3.7299465e-05  3.3032484e-04 ...  9.2109591e-03
  8.9263711e-03  9.5984843e-03]"
neutral,"[-0.00775773 -0.0128517  -0.00964223 ... -0.00445574 -0.00421072
 -0.00456651]"
sad,"[-0.07602391 -0.07241334 -0.07182707 ...  0.00459986  0.00483556
  0.00475319]"
sad,"[-0.01715486 -0.01540994 -0.01429207 ...  0.00372008  0.00347906
  0.00356067]"
sad,[0.00960755 0.01162741 0.00645063 ... 0.00276226 0.00317632 0.00348397]
angry,"[ 0.06067603  0.06209242  0.06393159 ... -0.01668356 -0.01469504
 -0.01280642]"
disgust,"[ 0.00068282 -0.00128057 -0.00081386 ... -0.00267033 -0.00366049
 -0.00465599]"
fear,"[ 0.04532691  0.04573116  0.04684397 ... -0.00367243 -0.0035049
 -0.00401701]"
happy,"[-0.0637966  -0.05294086 -0.04063795 ...  0.0046757   0.00451917
  0.00357339]"
neutral,[0.02493241 0.02495166 0.02492831 ... 0.01227885 0.01367981 0.01605703]
sad,"[-0.01402878 -0.01405743 -0.01469258 ...  0.00055373  0.00166278
  0.00123681]"
angry,"[ 0.02060039  0.01970052  0.01914252 ... -0.00148811 -0.00142038
 -0.00144731]"
disgust,[0.00210793 0.00164636 0.00050952 ... 0.00305115 0.00299461 0.00305745]
fear,[0.0027567  0.00605328 0.0084823  ... 0.00030534 0.00018741 0.00034705]
happy,"[-0.04576202 -0.05457646 -0.05623928 ...  0.00377236  0.0039588
  0.00446453]"
neutral,[0.00110631 0.00382986 0.00632316 ... 0.00332669 0.00393921 0.0048626 ]
sad,"[ 0.01195702  0.0128983   0.01250111 ... -0.00405864 -0.00347696
 -0.00344762]"
angry,"[ 0.01984785  0.00662341  0.00484506 ... -0.00918591 -0.00979767
 -0.00625811]"
disgust,"[-0.00091372  0.00259047 -0.00056938 ... -0.00618483 -0.00616627
 -0.00612943]"
fear,[0.02842491 0.02978382 0.03182023 ... 0.00370398 0.00333771 0.00353408]
happy,"[-0.03269577 -0.03222908 -0.02708028 ...  0.00542028  0.00919318
  0.01287401]"
neutral,"[-0.00294228 -0.0056404  -0.00986174 ... -0.00605161 -0.00477702
 -0.0044397 ]"
sad,"[-0.0043365  -0.00225734 -0.00012182 ... -0.00265561 -0.00050445
 -0.00201844]"
angry,"[ 0.00568201  0.00584618  0.0067204  ... -0.00126559 -0.00419624
 -0.00613277]"
disgust,"[ 0.02580988  0.02343906  0.0209376  ... -0.0075807  -0.00842161
 -0.0101279 ]"
fear,"[-0.00361246 -0.00556572 -0.00395014 ...  0.00038279  0.00025816
  0.00031856]"
happy,"[-0.0027648   0.00094439  0.0024877  ...  0.02191792  0.01932031
  0.01756966]"
neutral,"[ 0.00538681  0.00536148  0.00426809 ... -0.01731462 -0.01675878
 -0.01610409]"
sad,"[ 0.00849873  0.00843979  0.00896317 ... -0.007934   -0.00754157
 -0.00719974]"
angry,"[-0.05864652 -0.05660531 -0.05323161 ...  0.09240773  0.09475029
  0.09269077]"
disgust,"[-0.00189983 -0.00253837 -0.00354995 ...  0.00351284  0.00577167
  0.00663337]"
fear,"[-0.01220325 -0.01238438 -0.01317554 ...  0.00484335  0.00529633
  0.00651233]"
happy,"[-0.01165104 -0.01392769 -0.01633232 ... -0.00508999 -0.00405768
 -0.00260591]"
